sentence,label
""" Dan Greenspan has to be reminded to schedule monthly meetings with the entire consortium to improve communications.""",Action
""" Mary Brown will take care to change the supplier for the engine.""",Action
""" Marie Guerez is ensured for cancel the contract with our development partner by Tuesday evening 9pm.""",Action
""" Marie Guerez will act to release the new product line V one month earlier.""",Action
""" Miles David has to be reminded to skip the presentation for the client and instead give a live prototype demonstration.""",Action
""" Dan Greenspan will take care to formalize our partnership with Mont Blanc Sports.""",Action
""" Miles David is ensured for The water supply will be shut off.""",Action
""" Drew White has to be reminded to formalize our partnership with Mont Blanc Sports.""",Action
""" Drew White will act to there will not be more than five iterations on this release.""",Action
""" Pete Winston will mitigate the risk of a factory blackout by taking a backup generator.""",Action
""" Chen Wang is ensured for cancel the contract with our development partner.""",Action
""" Hans Schmitt will take care to formalize our partnership with Mont Blanc Sports.""",Action
""" Susan Rogette has to be reminded to formalize our partnership with Mont Blanc Sports within this week.""",Action
""" Dan Greenspan will act to cancel the contract with our development partner.""",Action
""" Dan Greenspan has to be reminded to mitigate the risk of a factory blackout by taking a backup generator on Monday 27th March.""",Action
""" Hans Schmitt is ensured for schedule monthly meetings with the entire consortium to improve communications.""",Action
""" Mary Brown completes the action to release the new product line V one month earlier within this week.""",Action
""" Marie Guerez has to be reminded to The water supply will be shut off.""",Action
""" Ilan Guenay is ensured for release the new product line V one month earlier.""",Action
""" Dan Greenspan is ensured for cancel the contract with our development partner.""",Action
""" Henk Muller has to be reminded to include an additional set of spare parts during the next system test.""",Action
""" Drew White will take care to cancel the contract with our development partner.""",Action
""" Marie Guerez will schedule monthly meetings with the entire consortium to improve communications.""",Action
""" Dan Greenspan will take care to release the new product line V one month earlier.""",Action
""" Dan Greenspan completes the action to change the supplier for the engine.""",Action
""" Mitt Brown completes the action to The water supply will be shut off.""",Action
""" Dan Greenspan will include an additional set of spare parts during the next system test at the start of this month.""",Action
""" Marie Guerez is ensured for change the supplier for the engine within this week.""",Action
""" Evan Miles completes the action to mitigate the risk of a factory blackout by taking a backup generator on Monday 27th March.""",Action
""" Mitt Brown has to be reminded to formalize our partnership with Mont Blanc Sports on Monday 27th March.""",Action
""" John Doe will act to formalize our partnership with Mont Blanc Sports after 1st of June.""",Action
""" Marie Guerez will there will not be more than five iterations on this release.""",Action
""" Susan Rogette has to be reminded to release the new product line V one month earlier within this week.""",Action
""" Hans Schmitt will act to schedule monthly meetings with the entire consortium to improve communications.""",Action
""" Chen Wang will take care to change the supplier for the engine on Monday 27th March.""",Action
""" Matthieu Le Bon will act to change the supplier for the engine after Monday next week.""",Action
""" Matthieu Le Bon is ensured for schedule monthly meetings with the entire consortium to improve communications.""",Action
""" Hans Schmitt is ensured for cancel the contract with our development partner.""",Action
""" Matthieu Le Bon completes the action to there will not be more than five iterations on this release.""",Action
""" Matthieu Le Bon will take care to change the supplier for the engine.""",Action
""" John Doe is ensured for formalize our partnership with Mont Blanc Sports within this week.""",Action
""" Pete Winston is ensured for schedule monthly meetings with the entire consortium to improve communications by Tuesday evening 9pm.""",Action
""" Pete Winston is ensured for release the new product line V one month earlier.""",Action
""" Matthieu Le Bon is ensured for change the supplier for the engine within this week.""",Action
""" Hans Schmitt has to be reminded to mitigate the risk of a factory blackout by taking a backup generator after Monday next week.""",Action
""" Henk Muller completes the action to skip the presentation for the client and instead give a live prototype demonstration after 1st of June.""",Action
""" Evan Miles will act to skip the presentation for the client and instead give a live prototype demonstration after Monday next week.""",Action
""" Drew White will act to skip the presentation for the client and instead give a live prototype demonstration after 1st of June.""",Action
""" Pete Winston is ensured for change the supplier for the engine.""",Action
""" Chen Wang will skip the presentation for the client and instead give a live prototype demonstration at the start of this month.""",Action
""" Miles David decide to schedule monthly meetings with the entire consortium to improve communications.""",Decision
""" Susan Rogette decide to skip the presentation for the client and instead give a live prototype demonstration at the start of this month.""",Decision
""" Hans Schmitt decided mitigate the risk of a factory blackout by taking a backup generator.""",Decision
""" Drew White took decision to release the new product line V one month earlier within this week.""",Decision
